Customer Code,DaysPresent,Revenue
CAL1129,180,156272.08
CAL1130,174,6309926.22
CAL1131,0,0
CAM0011,0,0
CAM0017,4291,11547555.73
CAM0032,4291,2172579.59
CAM0042,4291,10663196.7
CAM0043,4290,0
CAM0049,4291,1056120.39
CAM0050,4290,21262987.83
CAM0055,4291,0
CAM0056,4291,11786751.01
CAM0068,4291,1236424.08
CAM0073,4291,2396770.84
CAM0079,0,0
CAM0080,4291,21543663.55
CAM0081,4291,12056424.27
CAM0082,4291,3434685.01
CAM0099,4291,696968.13
CAM0229,4291,15939407.55
CAM0230,4291,1379988.54
CAM0241,0,0
CAM0247,4291,1017996.41
CAM0251,4249,4954571.53
CAM0253,0,0
CAM0257,4164,31455165.23
CAM0260,4108,1034352.28
CAM0265,4070,24721015.59
CAM0270,3974,11713933.55
CAM0276,3937,651749.98
CAM0284,3782,9799853
CAM0285,0,0
CAM0286,3731,0
CAM0287,3722,9225298.86
CAM0289,3614,4337575.28
CAM0293,3529,63646348.16
CAM0303,3237,3889335.49
CAM0306,0,0
CAM0309,3097,1335826.49
CAM0317,2921,22908272.17
CAM0318,2865,570191.61
CAM0320,2775,6010498.52
CAM0322,2761,4917673.76
CAM0329,2635,1718142.6
CAM0330,2635,17465461.3
CAM0334,2521,8240219.18
CAM0338,2486,4362545.9
CAM0340,0,0
CAM0342,2455,0
CAM0343,2452,144293.3
CAM0345,2444,6250
CAM0347,2429,9367813.07
CAM0349,2411,4739970.84
CAM0350,2402,417791.02
CAM0356,2364,14376608.7
CAM0357,2351,23302348.44
CAM0359,0,0
CAM0361,0,0
CAM0363,2200,22838524.09
CAM0366,2180,4762557.08
CAM0367,2169,1882280.4
CAM0368,2154,36192770.99
CAM0369,0,0
CAM0370,2101,439972.98
CAM0371,2093,37301813.45
CAM0372,0,0
CAM0374,2062,3094569.68
CAM0375,2058,10600723.02
CAM0376,0,0
CAM0379,0,0
CAM0383,1815,7600031.24
CAM0384,1793,11572020.44
CAM0387,0,0
CAM0392,1703,318663.66
CAM0395,1645,0
CAM0397,0,0
CAM0401,1465,3544281
CAM0402,1452,1196284.26
CAM0403,0,0
CAM0415,1421,41984.58
CAM0419,0,0
